Taxa,Gene Region 1,Gene Region 2,Gene Region 3,Gene Region 4,Gene Region 5,Gene Region 6,Gene Region 7,Gene Region 8,Gene Region 9,Gene Region 10,Gene Region 11,Gene Region 12,Gene Region 13,Gene Region 14,Gene Region 15,Gene Region 16,Gene Region 17,Gene Region 18,Gene Region 19,Gene Region 20,Gene Region 21,Gene Region 22,Gene Region 23,Gene Region 24,Gene Region 25,Gene Region 26,Gene Region 27,Gene Region 28,Gene Region 29,Gene Region 30,Gene Region 31,Gene Region 32,Gene Region 33,Gene Region 34,Gene Region 35,Gene Region 36,Gene Region 37,Gene Region 38,Gene Region 39,Gene Region 40,Gene Region 41,Gene Region 42,Gene Region 43,Gene Region 44,Gene Region 45,Gene Region 46,Gene Region 47,Gene Region 48,Gene Region 49,Gene Region 50,Gene Region 51,Gene Region 52,Gene Region 53,Gene Region 54,Gene Region 55,Gene Region 56,Gene Region 57
Myrcia vittoriana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JN091301.1,-,-,-,-,-,-,-,-,JN091250.1,-,-,-,JN091385.1,-,-,_R_JN091441.1,-
Myrcianthes cisplatensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JN661062.1,JQ033256.1,-,-,-,-,-,-,-,-,-,-,_R_JN661112.1,-,-,-,-,-,-,-,-,JN660864.1,-,-,-,-,-,-,_R_JN660963.1,-,JN660914.1,-,JQ033288.1,JQ033381.1,-,-,_R_JN661013.1,JQ033349.1,-
Myrcianthes fragrans,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KJ187708.1,-,-,-,-,-,-,-,-,KJ187655.1,AY498803.1,-,-,-,-,-,_R_KJ469705.1,U26328.2
Myrcianthes gigantea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ033257.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ033321.1,-,JQ033289.1,JQ033382.1,-,-,-,JQ033350.1,-
Myrcianthes pseudomato,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489951.1,-,-,-,-,-,-,-,-,AM234100.1,-,-,-,-,-,-,_R_AM489868.1,-
Myrcianthes pungens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489950.1,-,-,-,-,-,-,-,-,AM234099.1,-,-,-,-,-,-,_R_KJ469706.1,-
Myrcianthes sp.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AB586447.1
Myrciaria aff.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489953.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AM489870.1,-
Myrciaria cauliflora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489952.1,-,-,-,-,-,-,-,-,AM234093.1,-,-,-,-,-,AM490007.1,_R_AM489869.1,-
Myrciaria cuspidata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ033252.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ033316.1,-,JQ033284.1,JQ033377.1,-,-,-,JQ033345.1,-
Myrciaria floribunda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM234094.1,-,-,-,-,-,-,-,JQ626319.1
Myrciaria vexator,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY498804.1,-,-,-,-,AY521544.1,-,-
Myrtaceae gen.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,U10656.1,-,-,-,-,-,-,-,AF190352.1,-,-,-,AF190386.1,-,-,_R_AF190369.1,-
Myrtaceae sp.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ038743.1,-,-,JQ589741.1,-,GQ428584.1
Myrtastrum rufopunctatum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ225439.1,-,-,-,-,-,-,-,-
Myrteola nummularia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489954.1,-,-,-,-,-,-,-,-,AM234068.1,-,-,-,-,-,AM490008.1,_R_AM489871.1,-
Myrtus communis,-,-,-,-,-,-,-,-,-,FJ611338.1,-,-,-,-,-,-,-,-,JN661038.1,-,-,-,-,-,-,-,-,-,-,-,_R_JN661088.1,-,-,-,-,-,-,-,-,AM489955.1,-,-,-,-,-,_R_JF268426.1,AF215628.1,-,AM234149.1,AF215593.1,-,-,-,-,AM490009.1,_R_AM489872.1,AF294254.2
Myrtus nivelii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ611324.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Myrtus nivellei,-,-,-,-,-,-,-,-,-,GU947741.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HM106403.1,-,-,-,-,-,-,-,-,GU984338.1,-,-,-,-,-,-,HM014142.1,-
Neofabricia mjoebergii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF184737.1,-,AF184699.2
Neofabricia sericisepala,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850687.1,-,-,-,-,-,AF184738.1,-,AF184700.2
Neomitranthes cordifolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489413.1,-,-,-,-,-,-,-,-,AM489410.1,-,-,-,JN091386.1,-,-,_R_AM489569.1,-
Neomitranthes glomerata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KF981344.1,-,KF981266.1
Neomyrtus pedunculata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489956.1,-,-,-,-,-,-,-,-,AM234144.1,-,-,-,KF591234.1,-,AM490010.1,_R_AM490637.1,JQ933419.1
Ochrosperma citriodorum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF489383.1,-,AF489327.1
Ochrosperma lineare,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EF581229.1,-,-,JN392735.1,-,AF489384.2,-,AF489328.2
Ochrosperma oligomerum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EF581230.1,-,-,-,-,AF489385.2,-,AF489329.2
Octamyrtus behrmannii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ225446.1,-,-,-,-,-,-,-,-
Octamyrtus pleiopetala,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489957.1,-,-,-,-,-,-,-,-,AM234130.1,-,-,-,-,-,-,_R_AM489873.1,-
Octamyrtus sp.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ225447.1,-,-,-,-,-,-,-,-
Osbornia octodonta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_DQ088396.1,-,EF041844.1,AY498805.1,-,-,-,-,AF368213.2,-,-
Pericalymma crassipes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF184739.1,-,AF184701.2
Pericalymma ellipticum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850641.1,-,-,-,-,-,-,-,-,EF026604.1,AY498806.1,-,-,-,-,AF184740.1,-,AF184702.2
Pericalymma spongiocaule,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF184741.1,-,-
Pericalymma spongiocaule.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF184703.2
Phymatocarpus maxwellii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049456.1,-,-,-,-,-,-,-,AF048896.1,-,-,-,-,-,-,-,-
Pileanthus filifolius,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EF581195.1,-,-,-,-,-,-,-,-,-,EF581231.1,-,-,-,-,EF581210.1,-,EF581246.1
Pilidiostigma glabrum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ225448.1,-,-,-,-,-,-,-,-
Pilidiostigma sessile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KF496525.1
Pilidiostigma sp.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY498807.1,-,-,-,-,AF368214.1,-,-
Pilidiostigma tetramerum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KC428574.1,-,-,-,-
Pilidiostigma tropicum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ225449.1,-,-,-,KC428575.1,-,-,-,-
Piliocalyx bullatus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_DQ088413.1,-,EF026617.1,DQ088478.1,-,-,-,-,DQ088552.1,-,-
Piliocalyx concinnus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_DQ088412.1,-,EF026615.1,DQ088476.1,-,-,-,-,DQ088550.1,-,-
Piliocalyx francii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EF026616.1,DQ088477.1,-,-,-,-,DQ088551.1,-,-
Piliocalyx robustus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_DQ088414.1,-,EF026618.1,DQ088479.1,-,-,-,-,DQ088553.1,-,-
Pimenta dioica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489958.1,-,-,-,-,-,-,-,-,AM234081.1,-,-,-,-,-,AM490011.1,_R_AM489874.1,-
Pimenta guatemalensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ588500.1,-,JQ592971.1
Pimenta pseudocaryophyllus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489960.1,-,-,-,-,-,-,-,-,AM234083.1,-,-,-,-,-,AM490013.1,_R_AM489876.1,KF981267.1
Pimenta racemosa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489959.1,-,-,-,-,-,-,-,-,AM234082.1,AY498808.1,-,-,-,-,AM490012.1,_R_AM489875.1,-
Plinia cauliflora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JN091387.1,-,-,-,-
Plinia guanacastensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ588503.1,-,JQ592976.1
Plinia pauciflora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489414.1,-,-,-,-,-,-,-,-,AM489411.1,-,-,-,JN091388.1,-,-,_R_AM489570.1,-
Plinia rivularis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ626311.1
Psidium cattleianum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489962.1,-,-,-,-,-,-,-,-,AM234080.1,-,-,-,-,-,AM490014.1,_R_AM489878.1,-
Psidium cattleyanum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KM064671.1,-,-,-,-,-,-,-,-,AB354960.1,HM160101.1,-,-,AB817363.1,-,AB354959.1,_R_GU135360.2,GU135194.1
Psidium cinereum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489961.1,-,-,-,-,-,-,-,-,AM234079.1,-,-,-,-,-,-,_R_AM489877.1,-
Psidium friedrichsthalianum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GQ982073.1,_R_GQ982335.1,GQ981848.1
Psidium guajava,-,-,-,-,-,-,-,-,-,-,DQ497007.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KJ883159.1,KJ883164.1,KJ883168.1,KJ883175.1,KJ883180.1,_R_AY454126.1,-,-,-,-,-,-,AY463104.1,-,AY781088.1,-,-,-,AB817344.1,-,AB354958.1,_R_GQ434986.1,GU135250.1
Psidium guineense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY498809.1,-,-,-,-,JQ588513.1,-,JQ592985.1
Psidium longipes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY521546.1,-,-
Psidium sp.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ033258.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ033322.1,-,JQ033290.1,JQ033383.1,-,-,-,JQ033351.1,-
Psiloxylon mauritianum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AM235466.1,AM235610.1,EF026606.1,AM235430.1,-,-,-,-,AF368215.2,-,AM235663.1
Qualea grandiflora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF368216.1,-,-
Qualea parviflora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU002253.1,-,-,-,-,-,-,-
Qualea rosea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ038396.1,FJ038835.1,FJ039217.1,FJ039518.1,FJ514694.1,_R_FJ039092.2,FJ038210.1
Qualea sp.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF209662.1,-,-,AF207002.1,AY498829.1,-,-,-,-,-,-,U02730.2
Regelia inops,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049451.1,-,-,-,-,-,-,-,AF048890.1,-,-,-,-,-,-,-,-
Regelia megacephala,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF048891.1,-,-,-,-,-,-,-,-
Regelia velutina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049452.1,-,-,-,-,-,-,-,AF048892.1,-,-,-,-,-,-,-,-
Rhodamnia andromedoides,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ225440.1,-,-,-,-,-,-,-,-
Rhodamnia argentea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489964.1,-,-,-,-,-,-,AY463132.1,-,AM234129.1,AY498810.1,-,-,-,-,AF368217.1,_R_AM489880.1,-
Rhodamnia australis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ225441.1,-,-,-,-,-,-,-,-
Rhodamnia blairiana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ225442.1,-,-,-,-,-,JN564153.1,-,JN564330.1
Rhodamnia dumetorum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AB924781.1,-,AB925392.1
Rhodamnia rubescens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489963.1,-,-,-,-,-,-,-,-,AM234127.1,-,-,-,-,-,AM490015.1,_R_AM489879.1,-
Rhodamnia sessiliflora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KC428596.1,-,-,-,-
Rhodamnia whiteana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JN564154.1,-,JN564332.1
Rhodomyrtus canescens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ225450.1,-,-,-,-,-,-,-,-
Rhodomyrtus effusa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ225451.1,-,-,-,-,-,-,-,-
Rhodomyrtus elegans,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ225452.1,-,-,-,-,-,-,-,-
Rhodomyrtus locellata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ225454.1,-,-,-,-,-,-,-,-
Rhodomyrtus longisepala,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ225455.1,-,-,-,-,-,-,-,-
Rhodomyrtus macrocarpa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ225456.1,AY498811.1,-,-,-,-,AY525137.1,-,KF496509.1
Rhodomyrtus missimana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ225453.1,-,-,-,-,-,-,-,-
Rhodomyrtus montana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ225457.1,-,-,-,-,-,-,-,-
Rhodomyrtus novoguineensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ225458.1,-,-,-,-,-,-,-,-
Rhodomyrtus obovata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ225459.1,-,-,-,-,-,-,-,-
Rhodomyrtus pervagata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ225473.1,-,-,-,-,-,-,-,-
Rhodomyrtus pinnatinervis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ225460.1,-,-,-,-,-,-,-,-
Rhodomyrtus psidioides,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489965.1,-,-,-,-,-,-,-,-,AM234134.1,-,-,-,-,-,-,_R_AM489881.1,-
Rhodomyrtus salomonensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ225462.1,-,-,-,-,-,-,-,-
Rhodomyrtus sericea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ225463.1,-,-,-,-,-,-,-,-
Rhodomyrtus surigaoensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ225464.1,-,-,-,-,-,-,-,-
Rhodomyrtus tomentosa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF105085.1,-,-,-,-,-,AB924761.1,HQ415540.1,AB925372.1
